S.NO.,SERVICE CODE,DESCRIPTION OF ITEM,UNIT,Rate,DSR CODE,,,,
112,3013530,"Providing and fixing factory made P.V.C. door frame of size 50x47 mm with a wall thickness of  5mm, made out of extruded 5 mm rigid PVC foam sheet mitred at corners and joined with 2 Nos. of 150 mm long brackets of 15x15 mm M.S. square tube, the vertical door profiles to be reinforced with 19x19 mm M.S. square tube of 19 gauge, EPDM rubber gasket weather seal to be provided through out the frame.  The door frame to be fixed to the wall using M.S. screws of 65/100 mm size complete as per manufacturers specification and  direction of Engineer-in-Charge. (9.119-AR112)",M,1.00,9.12,,,,
113,3013591,"Providing & fixing decorative high pressure laminated sheet of plain / wood grain in gloss/matt/ suede finish with high density protective surface layer and reverse side of adhesive bonding quality conforming to IS : 2046, Type S including cost of adhesive of approved qualtiy 1.0 mm thick. (9.127.2-AR113)",SQM,1.00,9.127.2,,,,
114,3013728,"Providing and fixing factory made Fiberglass Reinforced plastics (F.R.P.) chajja 4 mm thick of required colour, size and design made by Resin Transfer Moulding (RTM) Machine Technology, resulting in void free compact laminate in single piece, having smooth gradual slope curvature for easy drainage of water and duly reinforced by 2nos vertically and 1nos horizontally 50x2 mm thick M.S. flat with 12 mm in built hole for grouting on the existing wall along with the 50 mm flanges duly inserted and sealed in the wall complete in one single piece casted monolithically, including all necessary fittings . The FRP Chajja should be manufactured using unsaturated Polyester resin as per IS: 6746, duly reinforced with fibre glass chopped strand mat (CSM) as per IS: 11551 complete with protective Gel coat U/V coating on Top for complete resistance from the extreme of temperature, weather & sunlight. (9.128-AR114)",SQM (DSR 2012),1.00,9.13,,,,
121,4000771,"Structural steel work in single section fixed with or without connecting plate including cutting, hoisting, fixing in position and applying a priming coat of approved steel primer all complete. (10.1-AR121))",KG,1.00,10.1,,,,
122,4000772,"Structural steel work riveted, bolted or welded in built up sections, trusses and framed work including cutting, hoisting, fixing in position and applying a priming coat of approved steel primer all complete. (10.2-AR122)",KG,1.00,10.2,,,,
123,3013590,"Providing and fixing in position collapsible steel shutters with vertical channels  20x10x2 mm and braced with flat iron diagonals 20x5mm size, with top and bottom rail of T-iron 40x40x6mm with 40mm dia steel pulleys complete with bolts, nuts,  arrangement, stoppers. handles, including applying a priming coat of approved steel primer. (10.3-AR123)",SQM ,1.00,10.3,,,,
124,3013729,"Providing and fixing 1mm thick M.S. sheet door with frame of 40x40x6 mm angle iron and 3 mm M.S. gusset plates at the junctions and corners, all necessary fittings complete, including applying a priming coat of approved steel primer.Using flats 30x6mm for diagonal braces and central cross piece (10.4-AR124)",SQM ,1.00,10.4,,,,
125,4000035,"Supplying and fixing rolling shutters of approved make, made of required size M.S. laths, interlocked together through their entire length and jointed together at the end by end locks, mounted on specially designed pipe shaft with brackets, side guides and arrangements for inside and outside locking with push and pull operation complete, including the cost of providing and fixing necessary 27.5 cm long wire springs manufactured from high tensile steel wire of adequate strength conforming to IS: 4454 - part 1 and M.S. top cover of required thickness for rolling shutters. 80x1.25 mm M.S. laths with 1.25 mm thick top cover. (10.6-AR125)",SQM,1.00,10.6,,,,
126,3013535,Providing and fixing ball bearing for rolling shutters. (10.7-AR126),EA ,1.00,10.7,,,,
127,3013730,Extra for providing grilled rolling shutters manufactured out of 8 mm dia. M.S. bar instead of laths as per design approved by Engineer-in- charge.(area of grill to be measured). (10.9-AR127),SQM,1.00,10.9,,,,
132,4000781,"Providing and fixing T-iron frames for doors, windows and ventilators of mild steel Tee-sections, joints mitred and welded, welded, including fixing of necessary butt hinges and screw and applying a priming coat of aprroved steel primer. Fixing with 15x3 mm lugs 10cm long embedded in cement concrete blocks 15x10x10 cm of 1:3:6 (1 cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size. (10.13-AR132)",Kg,1.00,10.13,,,,
133,4000782,"Steel work in built up tubular (round, square or rectunglar hollow tubes etc. trusses etc. lncuding cutting, hoisting, fixing in position and applying a priming coat of approved steel primer, including welding and bolted with special shaped washers etc complete : hot finished welded type tube (10.16-AR133)",Kg,1.00,10.16,,,,
134,4000783,"Providing and fixing circular/hexagonal cast iron or M.S. sheet box for ceiling fan clamp of internal dia 140 mm, 73 mm height, top lid 1.5 mm thick M.S. sheet with its top surface hacked for proper bonding, top lid shall be screwed into the cast iron/ M.S sheet box by mean of 3.3 mm dia round headed screw, one lock at the corners. Clamp shall be made of 12 mm dia m.s bar bent to shape as per standard drawing.(10.18-AR134)",Ea,1.00,10.18,,,,
135,4000784,Providing and fixing bolts including nuts and washers complete (10.20-AR135),Kg,1.00,10.20,,,,
136,4000785,Welding by gas or electric plant including transportation of plant at site etc. complete (10.22-AR136),Cm,1.00,10.22,,,,
137,4000773,"Steel work welded in built up sections/framed work including cutting hoisting, fixing in position and applying a priming coat of approved steel primer using structural steel etc.as required.- In gratings, frames, guard bar, ladder, railings, brackets, gates & similar works.(10.25.2-AR137)",Kg,1.00,10.25.2,,,,
138,3013731,"Providing & fixing fly proof wire gauze to windows, clerestory windows & doors with M.S. Flat 15x3 mm and nuts & bolts complete. Galvanised M.S. Wire gauze with 0.63 mm dia wire and 1.4 mm aperture on both sides. (10.29.1-AR138)",Sqm,1.00,10.29.1,,,,
145,3013732,"Brick on edge flooring with bricks of class designation 7.5 on a bed of 12mm cement mortar, including filling the joints with same mortar, withcommon burnt clay non modular bricks:1:4 (1 cement : 4 coarse sand) (11.1.1-AR144)",SQM (DSR 2012),1.00,11.1.1,,,,
146,,"Cement concrete flooring 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate) finished with a  floating coat of neat cement including cement slurry, but excluding the cost of nosing of steps etc. complete. 25 mm thick with 12.5 mm nominal size stone aggregate (Based on 11.3.1-AR145)",Sqm,1.00,11.3.1,,,,
147,4000193,"Cement concrete flooring 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate) finished with a  floating coat of neat cement including cement slurry, but excluding the cost of nosing of steps etc. complete. 40 mm thick with 20 mm nominal size stone aggregate (11.3.1-AR146)",Sqm,1.00,11.3.1,,,,
148,,"Cement concrete Flooring with 1:2:4 (1 Cement : 2 Coarse sand : 4 graded stone aggregate ) flooring finished with a floating coat of neat cement including cement slurry , butexcluding the cost of nosing of step etc. complete.50mm thick with 20mm nominal size stone aggregate (Based on 11.3.1-AR147)",Sqm,1.00,11.3.1,,,,
149,4000586,"52 mm thick cement concrete flooring with concrete hardener topping under layer 40 mm thick cement concrete 1:2:4 (1 cement : 2 coarse sand : 4 graded stone agrregate 20 mm nominal size) and top layer 12 mm thick Hardcrete cement hardener consisting of mix 1:2 (1 cement hardener mix : 2 graded stone aggregate 6 mm nominal size) by volume with which hardening compound  mixed @ 2 litre per 50 kg of cement or as per manufacturer's specifications. This includes cost of cement slurry, but excluding the cost of nosing of steps etc. complete (11.4-AR148)",Sqm,1.00,11.40,,,,
150,4000589,Cement plaster skirting (upto 30 cm height) with cement mortar 1:3 (1 cement : 3 coarse sand) finished with a floating coat of neat cement. 18 mm thick (11.6.1-AR149),Sqm,1.00,11.6.1,,,,
151,4000590,Providing and fixing glass strips in joints of terrazo/cement concrete floors. - 40 mm wide and 4 mm thick. (11.13.1-AR150),Mtr,1.00,11.13.1,,,,
152,4000591,Kota stone slab flooring over 20 mm (average) thick base laid over and jointed with grey cement slurry mixed with pigment to match the shade of the slab including rubbing and polishing complete with base of cement mortar 1:4 (1cement : 4 coarse sand) : 25 mm thick (11.26.1-AR151),Sqm,1.00,11.26.1,,,,
153,4000592,"Kota stone slabs 20 mm thick in risers of steps, skirting, dado and pillars laid on 12mm (average) thick cement mortar 1:3 (1cement : 3coarse sand) and jointed with grey cement slurry mixed with pigment to match the shade of the slabs, including rubbing and polishing complete. (11.27-AR152)",Sqm,1.00,11.27,,,,
154,,"Providing and fixing homogeneous Polyvinyl chloride sheet /tile in flooring and skirting in approved pattern on a smooth and damp proof base using rubber based adhesives of approved quality and manufacturer like Dunlop S-758, Fevicol SR 998 or equivalent including rolling with light wooden roller weighing 5 Kg all complete as directed by Engineer-In-Charge, in approved colour and shade. 2 mm thick (11.64.2-AR153)",Sqm,1.00,11.64.2,,,,
155,,"Providing and fixing Ist quality ceramic glazed wall tiles conforming to IS : 15622 (thickness to be  specified by the manufacturer) of approved make in all colours, shade except burgundy, bottle green , black of any size as approved by Enigineer-in-Charge in skirting, risers of steps and dados over 12 mm thick bed of Cement Mortar 1:3 (1 Cement : 3 Coarse sand) and jointing with grey cement slurry @ 3.3kg per sqm including pointing in white cement mixed with pigment of matching shade complete. (11.36-AR154)",Sqm,1.00,11.36,,,,
156,4000595,"Providing and laying Ceramic glazed floor tiles 300x300 mm (thickness to be specified by the manufacturer) of 1st quality conforming to IS : 15622 of apporved make in colours such as white, ivory, grey fume red brown, laid on 20mm thick cement mortar 1:4 (1 Cement : 4 Coarse sand) including pointing the joints with white cement and matching pigment etc., complete. (11.37-AR155)",Sqm,1.00,11.37,,,,
157,4000037,"Providing and laying polished vitrified floor tiles 10 mm thick with water absorption’s less than 0.08% and conforming to IS : 15622 of approved make in all colours and shades, laid on 20 mm thick cement mortar 1:4 (1 cement : 4 coarse sand) including grouting the joints with white cement and matching pigments etc., complete. Size of Tile 600x600 mm.Make : Kajaria-double charge. (11.41.2-AR156)",Sqm,1.00,11.41.2,,,,
158,3013769,Deduct for not using 20 mm thick cement mortar 1:4 (1 cement : 4 coarse sand) bedding in laying of floor tiles. (11.42-AR157),Sqm,1.00,11.42,,,,
161,4000597,"Providing corrugated G.S. sheet roofing incuding vertical / curved surface fixed with polymer coated J or L hooks, bolts and nuts 8 mm diameter with bitumen and G.I. limpet washers or with G.I. limpet washers filled with white lead and including a coat of approved steel primer and two coats of approved paint on overlapping of sheets complete (upto any pitch in horizontal /vertical or curved surface), excluding the cost of purlins, rafters and trusses and including cutting to size and shape wherever required. 0.80 mm thick with zinc coating not less than 275gm/m² (12.1.2-AR160)",Sqm,1.00,12.1.2,,,,
162,4000713,"Providing ridges or hips of width 60 cm over all width plain G.S. sheet fixed with polymer coated J. or L hooks, bolts and nuts 8mm dia G.I. limpet and bitumen washers complete. 0.80 mm thick with zinc coating not less than 275 gm/m² (12.4.1-AR161)",Mtr,1.00,12.4.1,,,,
163,3013733,"Providing and fixing 15 cm wide 45 cm over all semi circular plain G.S. sheet gutter with iron brackets 40x3mm size, bolts, nuts and washers etc. including making necessary connections with rain water pipes complete.0.80mm thick with zinc coating not less than 275gm/m². (12.7.1-AR162)",M (DSR 2012),1.00,12.7.1,,,,
164,4000714,"Providing non-asbestos high impact polypropylene reinforced cement 6 mm thick corrugated sheets (as per IS:14871) roofing upto any pitch and fixing with polymer coated J, or L hooks, bolts and nuts 8mm dia. G.I. plain and  bitumen washers or with self drilling fastener and EPDM washers etc. complete (excluding the cost of purlins, rafters and trusses) including cutting sheets to size and shape wherever required.(12.8-AR163)",Sqm,1.00,12.8,,,,
167,4000717,Extra for providing and fixing wind ties of 40x 6 mm flat iron section(12.11-AR166),Mtr,1.00,12.11,,,,
168,3013520,Extra for every additional 1 cm thickness of mud phaska.(12.18-AR167),SQM (DSR 2012),1.00,12.18,,,,
169,4000718,Providing gola 75x75 mm in cement concrete 1:2:4 (1 cement :2 coarse sand : 4 graded stone aggregate of 10 mm and down gauge) including finishing with cement mortar 1:3 ( 1 cement: 3 fine sand ) as per standard design : In 75 x75 mm deep chase (12.21-AR168),Mtr,1.00,12.21,,,,
170,4000719,"Making khurras 45x45 cm with average minimum thickness of 5 cm  cement concrete 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate of 20mm nominal size) over P.V.C. sheet 1mx 1mx400 micron, finished with 12 mm cement plaster 1:3 (1 cement : 3 coarse sand) and a coat of neat cement rounding the edges and making and finishing the outlet complete. (12.22-AR169)",Ea,1.00,12.22,,,,
171,3013587,"Providing sand stone slab for roofing and laying them in cement mortar 1 : 4 (1 cement : 4 coarse sand) over wooden karries or R.C.C. battens or structural steel sections (Karries or battens or structural steel sections to be paid separately), including pointing the ceiling joints with cement mortar 1:3 (1 cement : 3 fine sand ) complete : Red sand stone slab 40 to 50 mm thick (12.23.1.1-AR170)",Sqm,1.00,12.23.1.1,,,,
172,4000722,Providing and fixing on wall face unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to  IS : 5382 leaving 10 mm gap for thermal expansion.  (i) Single socketed pipes: 75 mm diameter (12.41.1-AR171) ,Mtr,1.00,12.41.1,,,,
173,4000723,Providing and fixing on wall face unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to  IS : 5382 leaving 10 mm gap for thermal expansion.  (i) Single socketed pipes: 110 mm diameter (12.41.2-AR172),Mtr,1.00,12.41.2,,,,
174,4000727,Providing and fixing on wall face unplasticised - PVC moulded fittings/ accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. coupler-75 mm  (12.42.1.1-AR173),Ea,1.00,12.42.1.1,,,,
175,4000726,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. coupler- 110 mm. (12.42.1.2-AR174),Ea,1.00,12.42.1.2,,,,
176,4000729,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Single tee with door- 75x75x75 mm. (12.42.3.1-AR175),Ea,1.00,12.42.3.1,,,,
177,4000728,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Single tee with door- 110x110x110 mm. (12.42.3.2-AR176),Ea,1.00,12.42.3.2,,,,
178,3013521,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Single tee without door- 75x75x75 mm.(12.42.4.1-AR177),Ea,1.00,12.42.4.1,,,,
179,3013522,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592 Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Single tee without door- 110x110x110 mm. (12.42.4.2-AR178),Ea,1.00,12.42.4.2,,,,
180,4000731,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Bend 87.5°-75 mm bend. (12.4.2.5.1-AR179),Ea,1.00,12.42.5.1,,,,
181,4000730,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. Bend 87.5°-110 mm bend. (12.42.5.2-AR180),Ea,1.00,12.42.5.2,,,,
182,4000725,Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion. shoe (Plain) 75 mm. (12.42.6.1-AR181),Ea,1.00,12.42.6.1,,,,
183,4000724,"Providing and fixing on wall face unplasticised - PVC moulded fittings/accessories for unplasticised - Rigid PVC rain water pipes conforming to IS : 13592  Type A, including jointing with seal ring conforming to IS : 5382 leaving 10 mm gap for thermal expansion: shoe (plain) 110 mm. (12.42.6.2-AR182)",Ea,1.00,12.42.6.2,,,,
184,3013734,"Providing and fixing unplasticised- PVC pipe clips of approved design to unplasticised- PVC rain water pipes by means of 50x50x50 mm hard wood plugs, screwed  with M.S. screws of required length including cutting brick work and fixing in cement mortar 1:4 (1cement : 4 coarse sand) and making good the wall etc. complete. 75 mm (12.43.1-AR183)",Ea,1.00,12.43.1,,,,
185,3013735,"Providing and fixing unplasticised- PVC pipe clips of approved design to unplasticised- PVC rain water pipes by means of 50x50x50 mm hard wood plugs, screwed  with M.S. screws of required length including cutting brick work and fixing in cement mortar 1:4 (1cement : 4 coarse sand) and making good the wall etc. complete. 110  mm (12.43.2-AR184)",Ea,1.00,12.43.2,,,,
186,4000732,Providing and fixing to the inlet mouth of rain water pipe cast iron grating 15 cm diametre and weighing not less than 440 grams.(12.44-AR185),Ea,1.00,12.44,,,,
187,3013531,Providing and fixing to the inlet mouth of rain water pipe PTMT (an Engineering Thermoplastic) grating square (slit) 150 mm square with a height of 8 mm and weighing not less than 100 gms (12.46-AR186),Ea,1.00,12.46,,,,
189,3013736,"Providing and fixing precoated galvanised steel sheet roofing accessories 0.50 mm (+ 0.05 %) total coated thickness, Zinc coating 120 grams per sqm as per IS: 277, in 240 mpa steel grade, 5-7 microns epoxy primer on both side of the sheet and polyester top coat 15-18 microns using self drilling/ self tapping screws complete Ridges plain (500 - 600mm).(12.51.1-AR188)",m,1.00,12.51.1,,,,
193,4000549,12 mm cement plaster of mix 1:4 ( 1 cement : 4 fine sand) (13.1.1-AR192),Sqm,1.00,13.1.1,,,,
194,4000550,15 mm cement plaster on rough side of single or half brick wall of mix  1:4 ( 1 cement : 4 fine sand) (13.2.1-AR193),Sqm,1.00,13.2.1,,,,
195,4000551,12 mm cement plaster of mix: 1:4 ( 1 cement : 4 coarse sand) (13.4.1-AR194),Sqm,1.00,13.4.1,,,,
196,3013523,12 mm cement plaster of mix: 1:6 (1 cement: 6 coarse sand).(13.4.2-AR195),SQM,1.00,13.4.2,,,,
197,4000552,15 mm cement plaster on rough side of single or half brick wall of mix:  1:4 ( 1 cement : 4 coarse sand).(13.5.1-AR196),Sqm,1.00,13.5.1,,,,
198,4000553,15 mm cement plaster on rough side of single or half brick wall finished with a floating coat of neat cement of mix : 1:3 (1 cement : 3 fine sand). (13.8.1-AR197),Sqm,1.00,13.8.1,,,,
199,4000554,15 mm cement plaster on rough side of single or half brick wall finished with a floating coat of neat cement of mix : 1:4 (1 cement : 4 fine sand). (13.8.2-AR198),Sqm,1.00,13.8.2,,,,
200,4000555,Cement plaster 1:3 (1Cement : 3 Coarse sand) finished with a float of neat cement: 12 mm cement plaster.(13.9.1-AR199),Sqm,1.00,13.9.1,,,,
201,3013524,Cement plaster 1:3 (1Cement : 3 Coarse sand) finished with a float of neat cement: 20 mm cement plaster. (13.9.2-AR200),Sqm,1.00,13.9.2,,,,
202,4000556,6mm cement plaster to ceiling of mix: 1:3 (1 cement : 3 fine sand).(13.16.1-AR201),Sqm,1.00,13.16.1,,,,
203,3013525,6 mm cement plaster 1:3 (1 cement 3 fine sand) finished with a floating coat of neat cement and thick coat of lime wash on top of walls when dry for bearing of R.C.C slabs and beams. (13.17-AR202),Sqm,1.00,13.17,,,,
204,4000557,Neat cement punning (13.18-AR203),Sqm,1.00,13.18,,,,
205,4000559,"Rough cast plaster upto 10m height above ground level with a mixture of sand  and gravel or crushed stone from 6mm to 10mm nominal size dashed over and including the fresh plaster in two layers, under layer 12mm cement plaster 1:4 (1 cement : 4 coarse sand) and top layer 10mm cement plaster 1:3 (1 cement : 3 fine sand) mixed with 10% finely grounded hydrated lime by volume of cement. Ordinary cement finish using ordinary cement (13.19.1-AR204)",Sqm,1.00,13.19.1,,,,
206,4000561,Extra for providing and mixing water proofing material in cement plaster work in proportion recommended by the manufacturers.(13.21-AR205),Per Bag of 50 KG cement used in the mix,1.00,13.21,,,,
207,3013532,Pointing on tile brick work with cement mortar 1:3 (1 cement 3 fine sand): Flushed/ Ruled/ Struck or weathered pointing (13.32.1-AR206),Sqm,1.00,13.32.1,,,,
208,3013533,Pointing on work with cement mortar 1:3 (1 cement 3 fine sand): Raised and cut pointing (13.33.2-AR207),Sqm,1.00,13.33.2,,,,
209,4000562,White washing with lime to give an even shade : New work (Three or more coat) (13.37.1-AR208),Sqm,1.00,13.37.1,,,,
210,,"Distempering with dry distemper of approved brand and manufacture (two or more coats) and of required shade on new work, over and including water thinnable priming coat to give an even shade. (13.40-AR209)",Sqm,1.00,13.4,,,,
211,4000565,Distempering with oil bound washable distemper of approved brand and manufacture to give an even shade. New work (two or more coats) over and including water thinnable priming coat with cement primer (13.41.1-AR210),Sqm,1.00,13.41.1,,,,
212,4000566,Applying one coat of water thinnable cement primer of approved brand and manufacture on wall surface : water thinnable Cement primer.(13.43.1-AR211),Sqm,1.00,13.43.1,,,,
213,4000567,"Distempering with 1st quality acrylic distemper (ready mixed) of approved manufacturer, of required shade and colour complete. as per manufacturer's specification. Two or more coats on new work.(13.42.1-AR212)",Sqm,1.00,13.42.1,,,,
214,4000568,Finishing walls with water proofing cement paint of required shade: New Work  ( Two or more coats applied @3.84kg/10sqm).(13.44.1-AR213),Sqm,1.00,13.44.1,,,,
215,4000569,Finishing walls with Acrylic Smooth exterior paint of required shade: New work (Two or more coat applied @ 1.67 ltr/10 sqm over and including priming coat of exterior primer applied @2.20kg/10 sqm).(13.46.1-AR214),Sqm,1.00,13.46.1,,,,
216,4000570,Applying priming coat with ready mixed red oxide zinc chromate primer of approved brand and  manufacture on steel galvanised iron/ steel works. (13.50.3-AR215),Sqm,1.00,13.50.3,,,,
217,4000571,Applying priming coat with ready mixed pink or grey primer of approved brand and  manufacture on  wood work (Hard and soft wood).(13.50.1-AR216),Sqm,1.00,13.50.1,,,,
218,3013534,Painting with silicon & acrylic emulsion based water thinnable sealer of approved brand and manufacture on wet or patchy portion of plastered surface: one coat. (13.51.1-AR217),Sqm,1.00,13.51.1,,,,
219,4000573,Wall painting with plastic emulsion paint of approved brand and manufacture to give an even shade: Two or more coats on new work (13.60-AR218) .,Sqm,1.00,13.60,,,,
220,4000574,Painting with synthetic enamel paint of approved brand and manufacture to give an even shade. Two or more coats on new work. (13.61.1-AR219),Sqm,1.00,13.61.1,,,,
221,4000575,Painting with synthetic enamel paint of approved brand and manufacture of required colour to give an even shade: Two or more coats on new work over an under coat of suitable shade with ordinary paint of approved brand and manufacture. (13.62.1-AR220),Sqm,1.00,13.62.1,,,,
222,4000576,Painting with aluminium paint of approved brand and manufacture to give an even shade. Two or more coats on new work (13.63.1-AR221),Sqm,1.00,13.63.1,,,,
223,4000577,French spirit polishing : Two or more coats on new works i/c a coat of wood filler.(13.68.1-AR222),Sqm,1.00,13.68.1,,,,
224,3013526,Polishing on wood work with ready made wax polish of approved brand and manufacture: New work (13.69.1-AR223),Sqm,1.00,13.69.1,,,,
225,4000580,"Washed stone grit plaster on exterior walls height upto 10 Meter. above ground level, in two layers,under layer 12 mm cement plaster 1:4 (1 cement : 4 coarse sand), furrowing the under layer with scratching tool,applying cement slurry on the under layer @ 2 Kg of cement per square metre, top layer 15mm cement plaster 1:1/2:2 (1cement : 1/2 coarse sand : 2 stone chipping 10mm nominal size) in panels with groove all around as per approved pattern including scrubbing and washing. the top layer with brushes and water to expose the stone chippings, complete as per specification and direction of Engineer-In-Charge (Payment for providing grooves shall be made separately) (13.72-AR224)",Sqm,1.00,13.72,,,,
226,4000581,"Forming groove of uniform size in the top layer of washed stone grit plaster as per approved pattern using wooden battens,nailed to the under layer including removal of wooden battens, repair to the edges of panels and finishing the groove complete as per  specification and direction of the Engineer-In-Charge. 15 mm wide and 15 mm deep groove (13.73.1-AR225)",Mtr,1.00,13.73.1,,,,
227,4000582,"Forming groove of uniform size in the top layer of washed stone grit plaster as per approved pattern using wooden battens,nailed to the under layer including removal of wooden battens,repair to the edges of panels and finishing the groove complete as per  specification and direction of the Engineer-In-Charge. 20 mm wide and 15 mm deep groove (13.73.2-AR226)",Mtr,1.00,13.73.2,,,,
228,4000583,Extra for using white cement in place of ordinary cement in the top layer of the item of washed stone grit plaster (13.77-AR227),Sqm,1.00,13.77,,,,
229,3013341,"Providing and applying white cement based putty of average thickness 1 mm, of approved brand and manufacturer, over the plastered wall surface to prepare the surface even and smooth complete. (13.80-AR228)",SQM ,1.00,13.80,,,,
230,4000579,"Applying plaster of paris punning on walls up to 12 mm thickness as may be required so as the finished surface would be in plumb, plane and smooth. (13.26A-AR229)",Sqm,1.00,13.26A,,,,
232,4000056,"12.45 Providing and fixing false ceiling at all height including providing and fixing of frame work made of special sections, power pressed from M.S. sheets and galvanized with zinc coating of 120 gms/sqm (both side inclusive) as per IS : 277 and consisting of angle cleats of size 25 mm wide x 1.6 mm thick with flanges of 27 mm and 37mm, at 1200 mm centre to centre, one flange fixed to the ceiling with dash fastener 12.5 mm dia x 50mm long with 6mm dia bolts, other flange of cleat fixed to the angle hangers of 25x10x0.50 mm of required length with nuts & bolts of required size and other end of angle hanger fixed with intermediate G.I. channels 45x15x0.9 mm running at the spacing of 1200 mm centre to centre, to which the ceiling section 0.5 mm thick bottom wedge of 80 mm with tapered flanges of 26 mm each having lips of 10.5 mm, at 450 mm centre to centre, shall be fixed in a direction perpendicular to G.I. intermediate channel with connecting clips made out of 2.64 mm dia x 230 mm long G.I. wire at every junction, including fixing perimeter channels 0.5 mm thick 27 mm high having flanges of 20 mm and 30 mm long, the perimeter of ceiling fixed to wall/partition with the help of rawl plugs at 450 mm centre, with 25mm long dry wall screws @ 230 mm interval, including fixing of gypsum board to ceiling section and perimeter channel with the help of dry wall screws of size 3.5 x 25 mm at 230 mm c/c, including jointing and finishing to a flush finish of tapered and square edges of the board with recommended jointing compound , jointing tapes , finishing with jointing compound in 3 layers covering upto 150 mm on both sides of joint and two coats of primer suitable for board, all as per manufacturer's specification and also including the cost of making openings for light fittings, grills, diffusers, cutouts made with frame of perimeter channels suitably fixed, all complete as per drawings, specification and direction of the Engineer in Charge but excluding the cost of painting with :12.5 mm thick tapered edge gypsum plain boardconforming to IS: 2095- (Part I) :2011 (Board with BIScertification marks)",SQM,1.00,12.45,,,,
234,4000584,"Repairs to plaster of thickness 12mm to 20mm in patches of area 2.5 sq. metres and under, including cutting the patch in proper shape, raking out joints and preparing and plastering the surface of the walls complete, including disposal of rubbish to the dumping ground within 50 metres lead: With cement mortar 1:4 (1 cement : 4 fine sand)(14.1.1-AR233)",Sqm,1.00,14.1.1,,,,
235,4000585,"Repairs to plaster of thickness 12 mm to 20 mm in patches of area 2.5 sq. metres and under, including cutting the patch in proper shape, raking out joints and preparing and plastering the surface of the walls complete, including disposal of rubbish to the dumping ground within 50 metres lead: With cement mortar 1:4 (1 cement : 4 coarse sand) (14.1.2-AR234)",Sqm,1.00,14.1.2,,,,
236,4000674,"Fixing chowkhat in existing opening including embedding chowkhats in floor or walls cutting masonry for holdfast, embedding hold fast in cement concrete blocks of size 15x10x10 cm with cement concrete 1:3:6 (1 cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size), painting two coats of approved wood preservative to sides of chowkhat and making good the damages to walls and floors as required complete, including disposal of rubbish to the dumping ground within 50 metre lead: Door Chowkats    (14.2.1-AR235)",Ea,1.00,14.2.1,,,,
237,3013737,"Fixing chowkhats in existing opening including embedding chowkhats in floors or walls cutting masonry for holdfasts embedding holdfasts, in cement concrete blocks of size 15x10x10cm with cement concrete 1:3:6 (1 cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size), painting two coats of approved wood preservative to sides of chowkhats and making good the damages to walls and floors as required complete, including disposal of rubbish to the dumping ground within 50 m lead: window chowkhats (14.2-AR236)",Ea,1.00,14.2,,,,
238,3013738,"Fixing chowkhat in existing opening in brick/ RCC wall with dash fasteners/ Chemical fastener of appropriate size (3 nos on Ea vertical member of door chowkhat and 2 nos. on Ea vertical member of window chowkhat), including Cost of dash fasteners/ chemical fastener. (14.3-AR237)",Ea,1.00,14.3,,,,
